"RecipeTitle","RecipeType","Woah new ingredients","RecipeInstructions"
"Super difficult and long title which is not easily encoded
","Breakfast","it has multiple
lines 
here","These are new instructions for the second test"
"$%(*7
","Dinner","A bunch of special characters $(*&$34I#*(&(*&(*
","These instuction 
 have lots

 of ()*&)(&{Special Characters})"
"Super difficult and long title which is not easily encoded
","Breakfast","it has multiple
lines 
here","Step 1
Step 2
Step 3
Step 4"
"$%(*7
","Dinner","A bunch of special characters $(*&$I#*(&(*&(*
","""Hope this encoding works . . .""[[{}}]/
"
"RecipeTitle","RecipeType","RecipeIngredients","RecipeInstructions"
"RecipeTitle","RecipeType","Woah new ingredients","RecipeInstructions"
"Super difficult and long title which is not easily encoded
","Breakfast","it has multiple
lines 
here","These are new instructions for the second test"
"$%(*7
","Dinner","A bunch of special characters $(*&$34I#*(&(*&(*
","These instuction 
 have lots

 of ()*&)(&{Special Characters})"
"Super difficult and long title which is not easily encoded
","Breakfast","it has multiple
lines 
here","Step 1
Step 2
Step 3
Step 4"
"$%(*7
","Dinner","A bunch of special characters $(*&$I#*(&(*&(*
","""Hope this encoding works . . .""[[{}}]/
"
"RecipeTitle","RecipeType","RecipeIngredients","RecipeInstructions"
